350
23 125
23 4 131082
9 23 364762
22 23 263299
5 8 382876
14 12 162513
11 20 454557
10 8 237751
19 2 270852
1 3 424412
17 12 227576
6 7 257181
3 11 199252
3 23 219686
5 4 275970
3 2 388361
3 4 170244
18 10 237529
4 9 341896
19 16 144579
22 13 144971
6 14 172952
10 19 200671
7 22 325196
9 8 323160
6 13 230704
20 2 395521
1 10 538067
13 1 464088
7 10 239451
7 20 428803
1 19 373806
4 1 555174
15 9 370827
13 11 250389
2 8 315435
9 18 206912
7 8 328185
2 23 249866
16 2 358666
13 4 221381
6 17 238015
19 22 59718
16 6 178826
22 17 237702
4 6 81934
20 6 401631
3 12 241739
11 14 120026
14 3 222666
3 19 163821
4 2 256713
22 12 229339
17 15 187046
14 2 165695
6 18 216918
21 9 378505
9 1 446238
16 7 330155
14 15 190311
3 10 248223
6 23 70026
8 15 53645
6 21 277234
15 10 209733
20 22 284043
21 7 383530
23 16 227974
16 18 289892
17 20 420433
19 21 118052
3 13 267198
14 20 423698
2 15 261790
6 3 252178
10 20 443120
17 21 228224
18 5 336588
18 19 346700
21 23 321633
23 17 233849
6 12 10439
18 1 485936
19 15 9062
12 2 190279
20 3 406270
5 20 328080
22 5 379887
18 11 163992
5 19 338293
6 11 52926
9 22 320171
13 2 356105
20 15 233387
7 4 175247
12 18 206479
12 23 59587
5 10 288770
3 16 230858
17 8 240691
19 23 229208
7 9 383689
21 8 61323
21 20 342377
5 7 100723
15 7 274540
10 22 234762
4 10 102545
23 5 311637
11 10 73537
5 16 426107
15 5 329231
13 16 229832
22 11 210761
19 6 159182
8 19 62707
14 7 84229
18 8 371764
6 10 41489
12 1 507017
13 8 147960
14 5 184952
17 19 177984
7 11 204255
16 8 81872
18 7 235865
27 109
11 5 205607
25 4 360956
12 5 300045
14 11 325122
22 25 315574
10 18 356856
22 12 464743
4 18 322399
17 3 214721
4 24 264473
10 15 74874
3 7 266044
9 3 378517
24 7 109781
23 5 236228
12 1 459331
27 16 471448
25 13 350567
7 8 163021
10 19 231928
2 11 254574
15 17 323416
17 16 357091
17 1 222656
18 11 263761
15 5 299689
5 27 207546
12 6 157273
23 22 195100
19 13 380651
21 3 277279
5 25 178668
18 9 136441
20 12 414033
23 4 318545
23 26 280483
26 11 294641
23 12 456696
9 21 343258
19 12 233271
1 13 347620
9 26 267428
8 5 87971
14 26 237015
22 1 187620
20 14 391064
14 22 365125
17 14 251811
1 26 287963
14 24 310281
10 26 313849
5 22 234816
7 5 75050
9 27 63384
1 11 364893
8 19 88027
17 22 211089
4 19 310110
13 11 330827
