Case #1: 125
23 4 131082
9 23 364762
22 23 263299
5 8 382876
14 12 162513
11 20 454557
10 8 237751
19 2 270852
1 3 424412
17 12 227576
6 7 257181
3 11 199252
3 23 219686
5 4 275970
3 2 388361
3 4 170244
18 10 237529
4 9 341896
19 16 144579
22 13 144971
6 14 172952
10 19 200671
7 22 325196
9 8 323160
6 13 230704
20 2 395521
1 10 538067
13 1 464088
7 10 239451
7 20 428803
1 19 373806
4 1 555174
15 9 370827
13 11 250389
2 8 315435
9 18 206912
7 8 328185
2 23 249866
16 2 358666
13 4 221381
6 17 238015
19 22 59718
16 6 178826
22 17 237702
4 6 81934
20 6 401631
3 12 241739
11 14 120026
14 3 222666
3 19 163821
4 2 256713
22 12 229339
17 15 187046
14 2 165695
6 18 216918
21 9 378505
9 1 446238
16 7 330155
14 15 190311
3 10 248223
6 23 70026
8 15 53645
6 21 277234
15 10 209733
20 22 284043
21 7 383530
23 16 227974
16 18 289892
17 20 420433
19 21 118052
3 13 267198
14 20 423698
2 15 261790
6 3 252178
10 20 443120
17 21 228224
18 5 336588
18 19 346700
21 23 321633
23 17 233849
6 12 10439
18 1 485936
19 15 9062
12 2 190279
20 3 406270
5 20 328080
22 5 379887
18 11 163992
5 19 338293
6 11 52926
9 22 320171
13 2 356105
20 15 233387
7 4 175247
12 18 206479
12 23 59587
5 10 288770
3 16 230858
17 8 240691
19 23 229208
7 9 383689
21 8 61323
21 20 342377
5 7 100723
15 7 274540
10 22 234762
4 10 102545
23 5 311637
11 10 73537
5 16 426107
15 5 329231
13 16 229832
22 11 210761
19 6 159182
8 19 62707
14 7 84229
18 8 371764
6 10 41489
12 1 507017
13 8 147960
14 5 184952
17 19 177984
7 11 204255
16 8 81872
18 7 235865
Case #2: Impossible
Case #3: 106
6 2 225723
4 16 202700
5 7 518544
20 6 132138
13 4 376730
28 10 234265
14 8 374329
27 1 255336
33 13 376342
14 33 320464
14 19 352538
16 28 85034
20 21 267656
17 1 283049
11 14 329931
30 13 395564
13 6 424025
5 20 314450
3 28 324386
26 28 396224
18 31 298514
32 26 82733
2 7 372436
18 28 303662
21 11 339160
21 2 219769
6 33 155451
29 30 258986
1 9 167479
25 23 412018
23 1 357899
21 6 228387
4 24 215471
30 27 261159
1 13 362883
33 28 234559
18 10 246601
10 17 107501
18 22 377920
17 3 197622
24 25 93450
3 10 300033
16 8 292407
6 28 387591
26 20 154546
7 15 241652
6 3 351633
30 33 252888
25 17 143519
6 9 39461
27 23 386320
5 32 320797
4 17 160970
9 2 186262
29 3 366271
19 32 334338
